player,position,age,market_value,club,nationality,player_url,mv_millions,season
Thibaut Courtois,Goalkeeper,30,€60.00m,Real Madrid,['Belgium'],https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,60.0,2021/22
Andriy Lunin,Goalkeeper,23,€2.50m,Real Madrid,['Ukraine'],https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,2.5,2021/22
Luis López,Goalkeeper,21,€300k,Real Madrid,['Spain'],https://www.transfermarkt.com/luis-lopez/profil/spieler/623525,0.3,2021/22
Toni Fuidias,Goalkeeper,21,€300k,Real Madrid,['Spain'],https://www.transfermarkt.com/toni-fuidias/profil/spieler/623526,0.3,2021/22
Diego Piñeiro,Goalkeeper,18,-,Real Madrid,['Spain'],https://www.transfermarkt.com/diego-pineiro/profil/spieler/926850,0.0,2021/22
Éder Militão,Centre-Back,24,€60.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/eder-militao/profil/spieler/401530,60.0,2021/22
David Alaba,Centre-Back,30,€55.00m,Real Madrid,['Austria'],https://www.transfermarkt.com/david-alaba/profil/spieler/59016,55.0,2021/22
Nacho Fernández,Centre-Back,32,€7.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,7.0,2021/22
Jesús Vallejo,Centre-Back,25,€3.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896,3.0,2021/22
Mario Gila,Centre-Back,21,€500k,Real Madrid,['Spain'],https://www.transfermarkt.com/mario-gila/profil/spieler/618341,0.5,2021/22
Rafa Marín,Centre-Back,20,€400k,Real Madrid,['Spain'],https://www.transfermarkt.com/rafa-marin/profil/spieler/662261,0.4,2021/22
Ferland Mendy,Left-Back,27,€40.00m,Real Madrid,"['France', 'Senegal']",https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,40.0,2021/22
Miguel Gutiérrez,Left-Back,20,€6.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/miguel-gutierrez/profil/spieler/525299,6.0,2021/22
Marcelo,Left-Back,34,€3.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/marcelo/profil/spieler/44501,3.0,2021/22
Daniel Carvajal,Right-Back,30,€18.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,18.0,2021/22
Lucas Vázquez,Right-Back,30,€12.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,12.0,2021/22
Álvaro Odriozola,Right-Back,26,€12.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,12.0,2021/22
Sergio Santos,Right-Back,21,€250k,Real Madrid,['Spain'],https://www.transfermarkt.com/sergio-santos/profil/spieler/537759,0.25,2021/22
Casemiro,Defensive Midfield,30,€40.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/casemiro/profil/spieler/16306,40.0,2021/22
Antonio Blanco,Defensive Midfield,21,€5.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/antonio-blanco/profil/spieler/495621,5.0,2021/22
Federico Valverde,Central Midfield,23,€70.00m,Real Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,70.0,2021/22
Eduardo Camavinga,Central Midfield,19,€55.00m,Real Madrid,"['France', 'DR Congo']",https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,55.0,2021/22
Toni Kroos,Central Midfield,32,€20.00m,Real Madrid,['Germany'],https://www.transfermarkt.com/toni-kroos/profil/spieler/31909,20.0,2021/22
