Player,position,Age,Nation,club,mv_millions,Season,player_url,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,MP,market_value
Aleix Garrido,Central Midfield,18.0,ESP,FC Barcelona,0.3,2022/2023,https://www.transfermarkt.com/aleix-garrido/profil/spieler/709966,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,2.0,3.0,66.7,21.0,8.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,4.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0,1.0,100.0,4.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.2,0,,0,1,7.0,2,3.0,0.0,0.0,0.0,0.0,-1.32,0.1,0.5,-0.4,-5.0,-6.13,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,€300k
Alejandro Balde,Left-Back,18.0,ESP,FC Barcelona,50.0,2022/2023,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688,33.0,30,2471.0,27.5,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.9,1.9,4.9,6.8,95.0,79.0,234.0,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,4.0,21.1,0.69,0.15,0.05,0.25,17.9,0.0,0.0,0.0,0.1,-0.9,-0.9,1482.0,1670.0,88.7,21525.0,4340.0,892.0,951.0,93.8,486.0,536.0,90.7,71.0,106.0,67.0,6.0,4.9,5.4,1.1,22.0,74.0,22.0,16.0,79.0,65.0,2.37,49.0,0.0,8.0,2.0,5.0,1.0,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,42.0,30.0,22.0,16.0,4.0,24.0,41.0,58.5,17.0,25.0,3.0,22.0,12.0,54.0,17.0,1.0,1939.0,40.0,419.0,874.0,672.0,78.0,1939.0,97.0,50.0,51.5,36.0,37.1,1270.0,7245.0,4093.0,95.0,69.0,34.0,41.0,24.0,1347.0,234.0,75.0,72.3,30,81.0,21,3,9.0,4,2.45,48.0,15.0,33.0,1.2,-0.41,53.8,25.9,27.9,1.02,-0.35,0.0,27.0,29.0,5.0,67.0,12.0,30.0,0.0,0.0,0.0,145.0,19.0,18.0,51.4,,€50.00m
Ander Astralaga,Goalkeeper,18.0,ESP,FC Barcelona,0.0,2022/2023,https://www.transfermarkt.com/ander-astralaga/profil/spieler/709955,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,-
Andreas Christensen,Centre-Back,26.0,DEN,FC Barcelona,40.0,2022/2023,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,23.0,22,1760.0,19.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5,1.5,18.0,91.0,5.0,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,5.0,50.0,0.51,0.26,0.1,0.2,12.2,0.0,0.0,0.0,0.1,0.0,0.0,1416.0,1507.0,94.0,25804.0,8685.0,549.0,580.0,94.7,740.0,761.0,97.2,113.0,142.0,79.6,1.0,0.5,0.9,0.5,6.0,114.0,4.0,0.0,91.0,15.0,0.77,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,9.0,11.0,0.0,10.0,16.0,62.5,6.0,14.0,12.0,2.0,21.0,41.0,47.0,0.0,1652.0,127.0,645.0,962.0,50.0,13.0,1652.0,2.0,0.0,0.0,2.0,100.0,1170.0,5841.0,3232.0,18.0,15.0,0.0,10.0,1.0,1257.0,5.0,77.0,51.5,22,80.0,15,1,6.0,4,2.3,33.0,13.0,20.0,1.02,-0.6,34.9,19.5,15.4,0.79,-0.67,0.0,18.0,7.0,0.0,1.0,21.0,15.0,0.0,0.0,1.0,107.0,42.0,19.0,68.9,,€40.00m
Ansu Fati,Left Winger,19.0,ESP,FC Barcelona,35.0,2022/2023,https://www.transfermarkt.com/ansu-fati/profil/spieler/466810,36.0,12,1393.0,15.5,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,1.7,10.7,47.0,48.0,178.0,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,61.0,18.0,29.5,3.94,1.16,0.11,0.39,15.0,3.0,0.0,0.0,0.16,-2.1,-2.1,509.0,609.0,83.6,6451.0,1024.0,359.0,398.0,90.2,114.0,136.0,83.8,18.0,23.0,78.3,3.0,1.7,2.3,1.3,16.0,23.0,19.0,1.0,48.0,51.0,3.3,36.0,1.0,8.0,5.0,0.0,1.0,8.0,0.52,5.0,0.0,1.0,2.0,0.0,0.0,16.0,9.0,8.0,4.0,4.0,5.0,18.0,27.8,13.0,19.0,0.0,19.0,5.0,21.0,6.0,0.0,806.0,10.0,64.0,278.0,470.0,128.0,806.0,47.0,23.0,48.9,21.0,44.7,557.0,2983.0,1399.0,47.0,28.0,31.0,35.0,30.0,640.0,178.0,39.0,40.7,12,71.0,1,24,22.0,1,2.36,36.0,5.0,31.0,2.0,1.16,31.8,13.1,18.7,1.21,0.16,0.0,18.0,13.0,10.0,9.0,5.0,9.0,0.0,0.0,0.0,65.0,7.0,14.0,33.3,,€35.00m
Arnau Tenas,Goalkeeper,21.0,ESP,FC Barcelona,2.0,2022/2023,https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,0,0,,35,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,€2.00m
Chadi Riad,Centre-Back,19.0,MAR,FC Barcelona,0.5,2022/2023,https://www.transfermarkt.com/chadi-riad/profil/spieler/689637,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,100.0,7.0,5.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.1,0,,0,1,2.0,3,3.0,0.0,0.0,0.0,0.0,-1.32,0.0,0.1,0.0,-1.53,-2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,€500k
Eric García,Centre-Back,21.0,ESP,FC Barcelona,10.0,2022/2023,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,24.0,15,1417.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.2,1.8,24.0,105.0,6.0,0.06,0.0,0.06,0.06,0.06,0.1,0.02,0.11,0.1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,1.0,14.3,0.44,0.06,0.14,1.0,12.9,0.0,0.0,0.0,0.22,-0.6,-0.6,1142.0,1257.0,90.9,21550.0,7275.0,429.0,460.0,93.3,578.0,612.0,94.4,122.0,158.0,77.2,0.0,0.2,0.6,-0.2,1.0,130.0,2.0,0.0,105.0,10.0,0.63,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,16.0,5.0,3.0,9.0,20.0,45.0,11.0,23.0,10.0,13.0,19.0,43.0,36.0,1.0,1398.0,97.0,539.0,781.0,84.0,5.0,1398.0,4.0,2.0,50.0,2.0,50.0,918.0,4539.0,2686.0,24.0,22.0,0.0,10.0,2.0,1049.0,6.0,59.0,41.4,15,79.0,10,9,25.0,14,2.0,30.0,10.0,20.0,1.27,-0.08,30.6,14.0,16.7,1.06,-0.09,0.0,18.0,8.0,0.0,0.0,19.0,16.0,0.0,2.0,0.0,90.0,23.0,15.0,60.5,,€10.00m
Ferrán Torres,Centre-Forward,22.0,ESP,FC Barcelona,30.0,2022/2023,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,33.0,14,1392.0,15.5,4.0,2.0,6.0,4.0,0.0,1.0,5.0,1.0,4.9,4.1,4.1,8.2,43.0,44.0,180.0,0.26,0.13,0.39,0.26,0.39,0.32,0.26,0.58,0.27,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,37.0,11.0,29.7,2.39,0.71,0.11,0.36,15.6,1.0,0.0,1.0,0.11,-0.9,-0.1,437.0,576.0,75.9,6772.0,1479.0,250.0,285.0,87.7,144.0,192.0,75.0,33.0,62.0,53.2,2.0,4.1,4.2,-2.1,25.0,13.0,29.0,11.0,44.0,50.0,3.23,32.0,6.0,7.0,3.0,1.0,1.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,4.0,5.0,4.0,5.0,20.0,25.0,15.0,11.0,2.0,9.0,3.0,16.0,5.0,0.0,756.0,10.0,67.0,256.0,441.0,87.0,755.0,68.0,30.0,44.1,26.0,38.2,490.0,2752.0,1199.0,43.0,34.0,23.0,48.0,23.0,599.0,180.0,42.0,40.7,14,72.0,5,19,20.0,3,2.27,25.0,11.0,14.0,0.91,-0.69,28.4,15.5,12.8,0.83,-0.48,0.0,17.0,25.0,8.0,60.0,3.0,7.0,0.0,0.0,0.0,53.0,11.0,9.0,55.0,,€30.00m
Franck Kessié,Central Midfield,25.0,CIV,FC Barcelona,25.0,2022/2023,https://www.transfermarkt.com/franck-kessie/profil/spieler/294808,28.0,7,990.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,0.7,2.5,14.0,39.0,43.0,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,15.0,3.0,20.0,1.36,0.27,0.07,0.33,15.9,0.0,0.0,0.0,0.12,-0.8,-0.8,391.0,457.0,85.6,5955.0,1170.0,207.0,231.0,89.6,152.0,174.0,87.4,20.0,29.0,69.0,1.0,0.7,0.9,0.3,8.0,23.0,6.0,1.0,39.0,21.0,1.91,15.0,0.0,2.0,4.0,0.0,0.0,2.0,0.18,1.0,0.0,0.0,1.0,0.0,0.0,15.0,9.0,6.0,6.0,3.0,8.0,18.0,44.4,10.0,10.0,2.0,8.0,12.0,27.0,11.0,2.0,575.0,25.0,110.0,336.0,133.0,25.0,575.0,18.0,9.0,50.0,6.0,33.3,349.0,1736.0,677.0,14.0,12.0,2.0,23.0,10.0,427.0,43.0,35.0,28.9,7,66.0,1,21,25.0,7,2.14,16.0,7.0,9.0,0.82,-0.7,18.3,12.1,6.2,0.57,-0.77,0.0,17.0,16.0,3.0,5.0,12.0,9.0,0.0,0.0,0.0,61.0,7.0,8.0,46.7,,€25.00m
